year,month,day,ai_written
2011,7,30,1.350318431854248
2011,8,18,1.3008129596710205
2011,8,23,0.9567567706108092
2011,8,3,1.0
2011,8,27,1.0896551609039309
2011,8,9,0.9878048896789552
2011,8,9,1.1075949668884275
2011,8,18,0.9736841917037964
2011,8,23,0.8909952640533447
2011,8,27,1.0896551609039309
2011,8,31,1.0707547664642334
2011,8,24,1.1711711883544922
2011,8,15,0.9227272868156432
2011,8,21,1.1026785373687744
2011,8,24,0.8457446694374084
2011,8,23,1.2878048419952393
2011,9,30,1.0125000476837158
2011,9,21,0.8911564350128174
2011,9,7,1.1483516693115234
2011,9,17,0.9371069073677064
2011,9,13,1.1584699153900146
2011,9,2,0.9123711585998536
2011,9,7,0.8933333158493042
2011,9,11,1.05325448513031
2011,10,28,1.2288135290145874
2011,10,3,1.0423280000686646
2011,10,24,0.6842105388641357
2011,10,31,1.225988745689392
2011,10,16,1.0352941751480105
2011,10,4,1.01036274433136
2011,10,19,0.924731194972992
2011,10,24,1.014634132385254
2011,10,1,1.1402438879013062
2011,10,3,1.020100474357605
2011,10,17,1.0
2011,11,24,1.0967742204666138
2011,11,29,0.8801843523979187
2011,11,14,0.8943089246749878
2011,11,14,0.9636363387107848
2011,11,7,0.8942731022834778
2011,11,24,1.2802547216415403
2011,11,17,0.9289940595626832
2011,11,5,1.0136985778808594
2011,11,12,0.9897435903549194
2011,11,14,1.0056818723678589
2011,11,9,1.0472972393035889
2011,11,14,0.9949495196342468
2011,11,21,1.1373625993728638
2011,11,28,0.9480000138282776
2011,11,8,0.9497206807136536
2011,11,5,1.0809524059295654
2011,11,29,0.9483568072319032
2011,11,13,1.0613207817077637
2011,11,22,1.0095694065093994
2011,12,21,1.033783793449402
2011,12,31,1.0292397737503052
2011,12,25,0.9931507110595704
2011,12,30,0.8102564215660095
2011,12,7,1.0
2011,12,24,1.21276593208313
2011,12,6,0.9610389471054076
2011,12,19,0.8458646535873413
2011,12,5,1.0520833730697632
2011,12,24,0.8831775784492493
2011,12,30,0.9711538553237916
2011,12,30,1.063953518867493
2011,12,5,0.7965116500854492
2011,12,31,1.0289855003356934
2011,12,5,0.800000011920929
2011,12,31,0.9011628031730652
2011,12,2,1.0347222089767456
2011,12,11,1.1435643434524536
2011,12,23,1.1824324131011963
2011,12,9,1.090909123420715
2012,1,26,0.8848921060562134
2012,1,16,1.0786516666412354
2012,1,22,1.3165829181671145
2012,1,27,0.9836065769195556
2012,1,5,0.8757061958312988
2012,1,17,0.9473684430122375
2012,1,20,1.1834862232208252
2012,1,9,1.0930233001708984
2012,1,29,0.9895833134651184
2012,1,5,0.9527027010917664
2012,1,29,1.2966101169586182
2012,1,4,0.8711340427398682
2012,1,10,0.9135802388191224
2012,1,2,0.9386792182922364
2012,1,4,0.7038626670837402
2012,1,29,0.9368420839309692
2012,1,20,1.1345291137695312
2012,1,27,0.9289940595626832
2012,2,22,1.104395627975464
2012,2,1,0.91847825050354
2012,2,17,1.125
2012,2,20,1.062857151031494
2012,2,3,0.9173553586006165
2012,2,2,1.0230414867401123
2012,2,14,0.953947365283966
2012,2,19,0.8344370722770691
2012,2,19,1.085714340209961
2012,2,19,1.096590876579285
2012,2,3,0.987261176109314
2012,2,4,1.0119047164916992
2012,2,10,1.0222222805023191
2012,2,19,1.462686538696289
2012,2,22,1.017543911933899
2012,2,19,1.1176470518112185
2012,2,22,1.023391842842102
2012,2,14,0.8758864998817444
2012,2,5,1.0801886320114136
2012,2,8,1.0930233001708984
2012,2,8,0.9330143332481384
2012,2,14,1.0240963697433472
2012,2,27,1.0555555820465088
2012,3,6,0.8160919547080994
2012,3,18,0.9829545617103576
2012,3,11,1.0
2012,3,11,1.0234375
2012,3,4,0.9824561476707458
2012,3,2,1.0059880018234253
2012,3,11,1.1079812049865725
2012,3,17,1.0265486240386963
2012,3,5,0.9794871807098388
2012,3,4,1.1526315212249756
2012,3,5,1.0061349868774414
2012,3,11,1.121052622795105
2012,3,4,1.1560693979263306
2012,3,18,0.8477365970611572
2012,3,7,0.978723406791687
2012,3,7,1.0414507389068604
2012,3,5,0.9303278923034668
2012,3,19,0.8640776872634888
2012,3,11,1.1595745086669922
2012,3,2,1.2636816501617432
2012,3,20,0.8684210777282715
2012,3,6,1.1411043405532837
2012,3,6,1.1237623691558838
2012,3,22,0.9597315192222596
2012,3,7,0.9399141669273376
2012,3,13,0.8883928656578064
2012,3,7,1.2149533033370972
2012,3,4,1.1111111640930176
2012,3,25,0.9941520690917968
2012,4,2,0.9363057613372804
2012,4,9,1.0988372564315796
2012,4,20,1.158730149269104
2012,4,16,0.9570815563201904
2012,4,1,0.9585798978805542
2012,4,14,0.9179487228393556
2012,4,15,0.8899521827697754
